               test                
-----------------------------------
  ***** acc.pg_view_comments *****

       rel        |       code        |   rel_src   |  rel_src_col   | status_id |                                                   anno                                                    
------------------+-------------------+-------------+----------------+-----------+-----------------------------------------------------------------------------------------------------------
 acc.account_attr | created_at        | wsd.account | created_at     |         1 | d_stamp,  Момент регистрации
 acc.account_attr | gender            |             |                |         3 | cfg.prop_value(acc.const_account_group_prop()(a.id)::ws.d_id('abp.person.gender'::text)::cfg.d_prop_code)
 acc.account_attr | id                | wsd.account | id             |         1 | d_id,     ID пользователя
 acc.account_attr | is_ip_checked     | wsd.account | is_ip_checked  |         1 | IP проверять при валидации сессии
 acc.account_attr | is_psw_plain      | wsd.account | is_psw_plain   |         1 | Пароль хранить незашифрованным
 acc.account_attr | login             | wsd.account | login          |         1 | d_string, Имя для авторизации на сайте
 acc.account_attr | name              | wsd.account | name           |         2 | 
 acc.account_attr | psw               | wsd.account | psw            |         1 | d_string, Пароль
 acc.account_attr | psw_updated_at    | wsd.account | psw_updated_at |         1 | d_stamp   Момент изменения пароля
 acc.account_attr | registration_date |             |                |         3 | (a.created_at)::date
 acc.account_attr | status_id         | wsd.account | status_id      |         1 | d_id32,   ID статуса
 acc.account_attr | status_name       |             |                |         3 | ws.class_status_name(('account'::text)::ws.d_code(a.status_id)::ws.d_id32)
 acc.account_attr | updated_at        | wsd.account | updated_at     |         1 | d_stamp,  Момент обновления записи
 acc.session_info | account_id        | wsd.session | account_id     |         1 | d_id,     ID пользователя
 acc.session_info | account_name      | wsd.account | name           |         2 | 
 acc.session_info | created_at        | wsd.session | created_at     |         1 | d_stamp,  Момент создания сессии
 acc.session_info | deleted_at        | wsd.session | deleted_at     |         1 | d_stamp,  Признак и момент завершения сессии
 acc.session_info | id                | wsd.session | id             |         1 | d_id,     ID сессии
 acc.session_info | ip                | wsd.session | ip             |         1 | d_string, IP пользователя
 acc.session_info | is_ip_checked     | wsd.session | is_ip_checked  |         1 | Проверять IP авторизованного пользователя
 acc.session_info | role_id           | wsd.session | role_id        |         1 | d_id,     ID роли
 acc.session_info | role_name         | wsd.role    | name           |         1 | d_string, Название
 acc.session_info | sid               | wsd.session | sid            |         1 | d_string, Код сессии
 acc.session_info | status_id         | wsd.account | status_id      |         1 | d_id32,   ID статуса
 acc.session_info | team_id           | wsd.session | team_id        |         1 | d_id,     ID команды
 acc.session_info | team_name         | wsd.team    | name           |         1 | d_string, Название команды
 acc.session_info | updated_at        | wsd.session | updated_at     |         1 | d_stamp,  Момент обновления сессии

